sample_id,seed,FW_THICK_CM,LI6_ENRICH_ATOM_FRAC,PBLI_THICK_CM,SHIELD_THICK_CM,VV_THICK_CM,tbr_total,tbr_total_std,tbr_cell_2,tbr_cell_2_std,tbr_cell_3,tbr_cell_3_std,tbr_cell_4,tbr_cell_4_std,tbr_cell_5,tbr_cell_5_std,tbr_cell_6,tbr_cell_6_std,tbr_cell_7,tbr_cell_7_std
s0052,20260414,2.9955413899974497,0.7378247750247753,72.4690745762802,23.64890857940484,18.97591970533483,0.9242571286176888,0.0001549113491576,0.0,0.0,1.5769731206866591e-06,1.903624788800961e-10,0.9242555516205376,0.0001549113491574,7.380228230285684e-12,4.2655090264016033e-13,7.058523387060108e-12,5.024747893674143e-13,9.591769937858462e-12,3.558435938842472e-12
s0053,20260414,4.120435532535327,0.4899161260766198,66.25052775479148,13.06734086997016,13.811762079056338,0.8336399569851675,0.0001531417313857,0.0,0.0,1.915265864614394e-06,2.489491237224536e-10,0.8336380416025935,0.0001531417313855,2.084956560157325e-11,7.155364602316736e-13,1.720705979703356e-11,7.694431395567645e-13,7.865270633899951e-11,1.1440623518918656e-11
s0054,20260414,3.5211209581055427,0.5698382062473508,79.44293896712323,34.32665550032017,22.032375053880003,0.8824401300822319,0.0001435700219249,0.0,0.0,1.7464451390372066e-06,2.1821772045164547e-10,0.882438383631179,0.0001435700219248,2.9591790061345186e-12,2.3825589126723985e-13,2.9546712642470066e-12,2.8438774587980183e-13,0.0,0.0
s0055,20260414,4.1407810755793415,0.450236625444544,75.64660302387347,35.202686581421666,27.87352140244567,0.8283966606714521,0.0001650287154021,0.0,0.0,1.920667052120311e-06,2.4974577421716153e-10,0.8283947399928553,0.0001650287154019,5.5691472975307055e-12,3.3373805243450213e-13,5.4296704775796335e-12,4.1891610571685233e-13,5.458867299689709e-13,5.458867299689709e-13
s0056,20260414,2.219816942862953,0.8583276101159147,32.403832131761284,39.28462469467839,27.117815955077543,0.9519246040347864,0.0001550111260771,0.0,0.0,1.2835381019137308e-06,1.5541925814334098e-10,0.9519233134087368,0.000155011126077,3.841005847541056e-09,1.0024127915983284e-11,2.942870397402178e-09,1.8265777367790108e-11,3.0407143562077997e-10,2.5114835837362256e-11
s0057,20260414,1.5577482791168529,0.3147011102396873,73.01666159602503,31.16326282292377,23.978916562404272,0.9976301430070288,0.000155718996193,0.0,0.0,9.838637726112477e-07,1.1947995498461759e-10,0.9976291591119476,0.000155718996193,1.385764992313073e-11,5.879314854927304e-13,1.5524878945740245e-11,7.548763639264333e-13,1.926216750071518e-12,1.3762292076902336e-12
s0058,20260414,3.174439732935004,0.5720058669593064,31.22525940906341,34.85296613066039,28.833531348623826,0.874575499362048,0.0001500488520212,0.0,0.0,1.6373677545782905e-06,2.0142509642931396e-10,0.8745738533266615,0.000150048852021,4.5250016925669746e-09,1.3961316485008964e-11,3.486085483168038e-09,2.0109109613683663e-11,6.56544831370478e-10,4.032067826419613e-11
s0059,20260414,3.5403046208143816,0.5835860572824583,34.73020279645998,49.93280068323676,15.766249085639242,0.8613491070556599,0.0001536177237084,0.0,0.0,1.7521884185005976e-06,2.195273231978777e-10,0.8613473504014828,0.0001536177237083,2.4677537251926357e-09,1.0170088990992184e-11,1.955954313963805e-09,1.3610850501100738e-11,4.205062657389656e-11,8.447554159478038e-12
s0060,20260414,3.2019689042489983,0.3969075267976086,46.18139161108904,30.66462058739356,28.290800145697222,0.880146211282726,0.0001793089376288,0.0,0.0,1.6468073667779291e-06,2.0471297245838107e-10,0.8801445633715107,0.0001793089376287,5.040383303484504e-10,4.025220543238817e-12,4.3341126488495764e-10,5.216756033281315e-12,1.6639887236379606e-10,1.7518628538334637e-11
s0061,20260414,4.391415982057806,0.320645785215639,60.56167305499538,35.63755103585825,17.979140152846625,0.7884893998024365,0.0001655073522118,0.0,0.0,1.9844908270941038e-06,2.5869202281493783e-10,0.7884874151975336,0.0001655073522116,5.370343989363312e-11,1.2802350693886737e-12,5.3105153839984546e-11,1.5376543352541777e-12,7.26716434422413e-12,3.644029364464381e-12
s0062,20260414,4.98654513728421,0.3755486034778648,54.56684095162967,10.924584473299523,21.40227705592642,0.7564663219699371,0.0001690353300981,0.0,0.0,2.121498595395368e-06,2.850239367017389e-10,0.7564641997588357,0.0001690353300978,1.121301356311617e-10,2.029344867788392e-12,8.35867776537675e-11,1.8516594180229426e-12,5.167890670992054e-10,3.099234913106436e-11
s0063,20260414,4.882385578284424,0.6925256121323362,60.26976307845841,15.86410064679842,17.705169007981947,0.7950894176032064,0.0001370251325307,0.0,0.0,2.098126732854738e-06,2.799387788660643e-10,0.7950873193144722,0.0001370251325304,3.784480625878839e-11,1.1996659860167718e-12,3.094100650480228e-11,1.2664294023463717e-12,9.321557352258775e-11,1.2072636885586263e-11
s0064,20260414,3.676059548674232,0.3014906992149296,73.72401591573473,48.0028435616422,15.070079182421242,0.8371441013563429,0.0001471931645715,0.0,0.0,1.7929736676029133e-06,2.2745600982907855e-10,0.8371423083635234,0.0001471931645713,8.618898530986388e-12,4.568483024963387e-13,1.053288932384121e-11,6.81995953062712e-13,0.0,0.0
s0065,20260414,1.7893341885795129,0.4573848902674569,48.13402414433833,45.50693793215599,24.553886223259823,0.9916154351882356,0.0001805698962708,0.0,0.0,1.094900493164725e-06,1.3504916477366704e-10,0.9916143394364956,0.0001805698962708,4.458723841519288e-10,3.757227227333336e-12,3.9021627805807445e-10,4.522214996493983e-12,1.5158181846274257e-11,5.155330485668799e-12
s0066,20260414,1.2174533265743903,0.8854412699449017,68.5566110786655,40.62762655078702,23.59023851416629,1.0382683908679446,0.0001562284906069,0.0,0.0,8.052954824169278e-07,1.0239443434083902e-10,1.0382675855391112,0.0001562284906069,1.6362635668291258e-11,5.801838236958395e-13,1.6091254170181913e-11,8.840829183474606e-13,8.971055055684788e-13,8.971055055684788e-13
s0067,20260414,3.2853042472537366,0.5004087410523279,55.76929783214388,38.524788184921874,14.20508466852156,0.8920043344501778,0.0001650366982045,0.0,0.0,1.6734330240591636e-06,2.0693543934082808e-10,0.8920026607944387,0.0001650366982044,1.1205669672569791e-10,1.99473157907172e-12,1.0084556952671354e-10,2.723290065362772e-12,9.8127626963022e-12,3.616300135667961e-12
s0068,20260414,3.70496542688126,0.8758321258304129,61.1817148340985,13.773477908849449,19.170512231613603,0.8771275064843234,0.0001707956513143,0.0,0.0,1.7999252344877126e-06,2.3102176456951616e-10,0.877125706375126,0.0001707956513141,3.4316730582659073e-11,1.088187624494741e-12,2.667391007400137e-11,1.0830506815910429e-12,1.229721986070127e-10,1.5448874713091612e-11
s0069,20260414,3.2247012270451307,0.3707432450327226,65.35393715022646,26.515370079297764,26.865146096880892,0.882692963268206,0.0001634357751321,0.0,0.0,1.654274485382116e-06,2.0460451365644062e-10,0.8826913089143121,0.000163435775132,3.0690248619331477e-11,9.47108829907127e-13,2.967895025674394e-11,1.101667851629511e-12,1.9039302651066904e-11,5.871514915827737e-12
s0070,20260414,4.590574077015318,0.8705034110789198,73.7950725922856,39.626147039812,12.842237441880318,0.8199154672640954,0.0001517172811943,0.0,0.0,2.031193815974276e-06,2.6713743273309247e-10,0.8199134360621975,0.000151717281194,4.27406133037199e-12,3.044345039403032e-13,3.807825533347438e-12,3.70701247409129e-13,0.0,0.0
s0071,20260414,4.4369248677870825,0.801299866030549,33.56540563890633,33.869516131789545,26.765435227951407,0.813062368405935,0.0001379308298351,0.0,0.0,1.9945356523350298e-06,2.608233089062032e-10,0.8130603693749099,0.0001379308298348,2.3119239900459757e-09,8.399520270190252e-12,1.7950649429673443e-09,1.2693198824444515e-11,3.8838387638686125e-10,2.8432356752350037e-11
s0072,20260414,3.854868778205384,0.6155713362799824,30.85874988542244,30.383799531660888,14.115706873669176,0.832964706694795,0.000159523030176,0.0,0.0,1.843149126800172e-06,2.3485905691865637e-10,0.8329628550662983,0.0001595230301758,4.221137313696835e-09,1.2640173242652558e-11,3.228174892852496e-09,1.9902296336599118e-11,1.0300577255488283e-09,4.571122616577369e-11
s0073,20260414,2.417352457088968,0.5151886406830382,57.15403610947635,27.47709028269807,28.372657422888924,0.955746710542262,0.0001993817866913,0.0,0.0,1.3646075892802312e-06,1.5884984844876835e-10,0.955745345691004,0.0001993817866912,1.0195914100993311e-10,1.8702812604055693e-12,9.03417325576122e-11,2.386944803884124e-12,5.136790384684605e-11,1.0535344036585338e-11
s0074,20260414,1.4152499845058903,0.3665482277322776,50.57998517635432,37.75083042890753,12.09233486702882,1.0094322713243231,0.0001740725298639,0.0,0.0,9.115425086317122e-07,1.1173043114353907e-10,1.0094313590581845,0.0001740725298638,3.5086344346847753e-10,3.903285122536048e-12,3.162527963764421e-10,5.295204547813141e-12,5.6514095636648586e-11,8.11047647184301e-12
s0075,20260414,4.4998490878561865,0.7295610821835739,50.02129171240682,44.33639936964285,10.964710141725744,0.8202216304814547,0.0001381231194323,0.0,0.0,2.0099382252619065e-06,2.6332211409034533e-10,0.8202196201888167,0.0001381231194321,1.8811391102615542e-10,2.258331808317656e-12,1.601046640074273e-10,3.710809309673837e-12,6.19413511857292e-12,2.334181171528859e-12
s0076,20260414,2.788982177510939,0.7791808062958456,30.330974571341507,21.89703067302288,24.66496207434735,0.909159486948844,0.000168494782483,0.0,0.0,1.5043118755467957e-06,1.8256527285113063e-10,0.9091579695964076,0.0001684947824829,5.061529007729969e-09,1.5331355364082164e-11,3.722052772911022e-09,1.9611844287655317e-11,4.256978978680737e-09,7.767165707626151e-11
s0077,20260414,1.594914372998546,0.6996627469959198,36.05525389736651,32.13762344148763,19.488466474422545,0.9993853163902352,0.0001924915255262,0.0,0.0,1.0012588091214817e-06,1.226860560819144e-10,0.9993843100160282,0.0001924915255261,2.5862966916327768e-09,8.837639135444446e-12,2.027652185781412e-09,1.408563510203766e-11,5.01448996781931e-10,3.093256754121583e-11
s0078,20260414,2.3538221195713467,0.51710551886948,70.01025117084143,16.310920890245804,11.340233596622603,0.9621907381985908,0.000195368611856,0.0,0.0,1.3392705575490733e-06,1.6084273986133422e-10,0.9621893988597756,0.000195368611856,1.4660950869200884e-11,6.121825888883907e-13,1.4274803988512292e-11,7.568482914189354e-13,3.932198461458116e-11,7.766020471849951e-12
s0079,20260414,4.448753392404418,0.3499380019453093,70.62046760360874,41.4554895185415,23.790930889404795,0.79194678101867,0.0001781650795823,0.0,0.0,1.9984550652953464e-06,2.6202812428635277e-10,0.7919447825379962,0.0001781650795821,1.2074886110151666e-11,5.359337747491094e-13,1.3312680308262618e-11,8.232480208059824e-13,2.2096225051077599e-13,2.2096225051077599e-13
