qhat,theta,n_safe,n_uncertain,n_risk,frac_safe,frac_uncertain,frac_risk
0.0270033150217257,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.0270033150217257,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.0270033150217257,1.5,54,30,60,0.375,0.20833333333333334,0.4166666666666667
0.0089961778762517,1.4,133,1,10,0.9236111111111112,0.006944444444444444,0.06944444444444445
0.0089961778762517,1.45,107,4,33,0.7430555555555556,0.027777777777777776,0.22916666666666666
0.0089961778762517,1.5,79,5,60,0.5486111111111112,0.034722222222222224,0.4166666666666667
0.0166053447149117,1.4,132,2,10,0.9166666666666666,0.013888888888888888,0.06944444444444445
0.0166053447149117,1.45,102,9,33,0.7083333333333334,0.0625,0.22916666666666666
0.0166053447149117,1.5,70,14,60,0.4861111111111111,0.09722222222222222,0.4166666666666667
0.0363818513862148,1.4,120,14,10,0.8333333333333334,0.09722222222222222,0.06944444444444445
0.0363818513862148,1.45,92,19,33,0.6388888888888888,0.13194444444444445,0.22916666666666666
0.0363818513862148,1.5,38,46,60,0.2638888888888889,0.3194444444444444,0.4166666666666667
0.038822666104308,1.4,120,14,10,0.8333333333333334,0.09722222222222222,0.06944444444444445
0.038822666104308,1.45,90,21,33,0.625,0.14583333333333334,0.22916666666666666
0.038822666104308,1.5,34,50,60,0.2361111111111111,0.3472222222222222,0.4166666666666667
0.030663453252244,1.4,125,9,10,0.8680555555555556,0.0625,0.06944444444444445
0.030663453252244,1.45,95,16,33,0.6597222222222222,0.1111111111111111,0.22916666666666666
0.030663453252244,1.5,49,35,60,0.3402777777777778,0.24305555555555555,0.4166666666666667
0.023911494847038,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.023911494847038,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.023911494847038,1.5,58,26,60,0.4027777777777778,0.18055555555555555,0.4166666666666667
