sample_id,split,FW_THICK_CM,PBLI_THICK_CM,SHIELD_THICK_CM,VV_THICK_CM,LI6_ENRICH_ATOM_FRAC,tbr,tbr_pred,ci_lower,ci_upper,ci_width
29,calibration,3.3584321559983032,37.15102250169704,34.149051236025386,27.984756304027087,0.4187574025293482,1.475559141737,1.47614842535739,1.4409642341053568,1.5113326166094232,0.0703683825040664
30,train,2.227352808544208,57.90305858527799,14.732209224519252,17.2896773351555,0.5566434766168603,1.537705806151,1.5374595230695653,1.5022753318175321,1.5726437143215986,0.0703683825040664
31,train,1.6459184707040648,46.47613699410016,37.6595544446989,13.420755317787652,0.3253927684230795,1.516854057288,1.5164367841425848,1.4812525928905516,1.551620975394618,0.0703683825040664
32,calibration,1.101177091425177,79.96387005879916,28.94266395461544,26.857177598894257,0.433718911370503,1.51639722399,1.5175352244331113,1.482351033181078,1.5527194156851445,0.0703683825040664
33,train,1.0539900655712495,53.92545176954643,31.00839208894238,27.364736140472992,0.8688575636422364,1.512876002187,1.5152862394356974,1.4801020481836642,1.5504704306877306,0.0703683825040664
34,train,3.26569547958256,61.69083093059256,47.35277823034148,29.98830804193911,0.8954208701472881,1.529913812059,1.5298168681624864,1.4946326769104532,1.5650010594145196,0.0703683825040664
35,train,3.32784026283366,63.94153237830876,20.70998483214684,11.312573879012763,0.4546805259969265,1.484660640206,1.4842330518158244,1.4490488605637912,1.5194172430678576,0.0703683825040664
36,train,4.412325101255961,43.00193236468032,12.81845871633492,22.877462263004222,0.6089891199656949,1.430281968914,1.4364322908639124,1.4012480996118792,1.4716164821159456,0.0703683825040664
37,calibration,1.6921812060934642,39.1568999253568,48.93602605998327,11.882293760448707,0.875514974109294,1.543249286626,1.5461403795290123,1.510956188276979,1.5813245707810455,0.0703683825040664
38,train,3.632589881329026,38.51115915918219,44.833325356793374,27.47481317343867,0.3181949265807451,1.430745176013,1.458795315436066,1.4236111241840328,1.4939795066880992,0.0703683825040664
39,train,2.6842481170025474,78.65835649218573,14.37858890603983,27.269222100279134,0.3500772968805409,1.497088837352,1.4970803407902569,1.4618961495382237,1.53226453204229,0.0703683825040664
40,train,4.8357309054334685,35.884975235331666,10.855856256428437,22.48624129145711,0.481669951753462,1.372598052252,1.3726495179264298,1.3374653266743965,1.407833709178463,0.0703683825040664
41,train,3.3798302683822774,64.592601007218,27.749353253328948,22.166512394357547,0.683449358012574,1.509937008061,1.5101941946313113,1.4750100033792781,1.5453783858833445,0.0703683825040664
42,train,2.3551250331378144,43.72457631016636,19.144261953616443,24.0839582643633,0.7177597759407499,1.546207345857,1.545992461275559,1.5108082700235257,1.581176652527592,0.0703683825040664
43,train,2.098693372048271,57.5841105000028,42.913303430290846,25.91069040481338,0.6999590331379579,1.546815948031,1.5466325309008804,1.5114483396488472,1.5818167221529136,0.0703683825040664
44,train,4.181297603293697,51.06992833058125,19.298568213724725,22.61747831280016,0.7583636332425507,1.464600596957,1.4645175798189662,1.429333388566933,1.4997017710709994,0.0703683825040664
45,train,2.464021820791138,35.34094179721973,32.089632090906846,26.60942168786501,0.5014652379151703,1.527969766818,1.5281385746380183,1.492954383385985,1.5633227658900515,0.0703683825040664
46,train,1.5640371686237895,49.49053345386865,27.314929022667467,11.611431207893826,0.4999397982489899,1.533164283188,1.5339157771551395,1.4987315859031063,1.5690999684071727,0.0703683825040664
47,train,3.438154481634278,67.69590919278505,47.887932228682175,19.614681392453257,0.632185624152588,1.501441824878,1.5086446559919149,1.4734604647398817,1.543828847243948,0.0703683825040664
48,train,2.99835872590017,66.8375925657966,10.48603923776614,21.878630129426902,0.8710135534686734,1.538864596629,1.539003356952363,1.5038191657003297,1.574187548204396,0.0703683825040664
49,train,4.429082564898154,67.37742216910114,41.94869149398775,22.270868575969125,0.8655617943570313,1.455215939946,1.455094106076912,1.4199099148248788,1.4902782973289452,0.0703683825040664
50,train,2.7950235886905785,30.64394495651603,35.51850962317653,21.56358307971908,0.3957984283003957,1.501094346572,1.5007159700455657,1.4655317787935325,1.5359001612975989,0.0703683825040664
51,train,2.8954301008452004,78.41484207106055,37.17673406688141,23.89380243198308,0.7729989534171651,1.537945196935,1.5379442356237223,1.502760044371689,1.5731284268757555,0.0703683825040664
52,calibration,3.407585173510807,31.33901849803164,17.02792454175472,12.23931071527979,0.4651089742143879,1.481035950256,1.4843475382379339,1.4491633469859007,1.519531729489967,0.0703683825040664
53,train,2.311728341184724,69.77693704136803,22.515312507598217,17.182899295500537,0.3468686414500855,1.50975280161,1.5098898822909161,1.474705691038883,1.5450740735429493,0.0703683825040664
54,train,1.2289829926113158,45.89976011183749,39.60573298570779,27.03522753547952,0.8974975128248328,1.523072235897,1.5230705015293828,1.4878863102773496,1.558254692781416,0.0703683825040664
55,train,4.139095136958533,44.5999198323168,49.47240628222888,24.38368794161474,0.579394106308655,1.448070764531,1.4483033939098433,1.41311920265781,1.4834875851618765,0.0703683825040664
56,train,2.194563462312469,33.747720872073,31.89190984514061,20.779805769575184,0.3896037614034688,1.519901354263,1.5140115482327137,1.4788273569806805,1.5491957394847469,0.0703683825040664
57,calibration,3.956745578154993,34.8697698682725,21.492036761144423,18.687421971810657,0.6656824292997808,1.472205536031,1.4756098399468247,1.4404256486947915,1.510794031198858,0.0703683825040664
58,train,1.4176878057644695,71.42099765259088,12.103965236239706,26.26576327850078,0.4720323767470491,1.528162784496,1.5282399032813798,1.4930557120293466,1.563424094533413,0.0703683825040664
59,calibration,3.246657012542125,59.10487694785062,45.6091393614863,13.197572549593126,0.4428394395092963,1.48736200973,1.4934376747378941,1.458253483485861,1.5286218659899273,0.0703683825040664
60,train,4.128983867707246,48.85436000674068,35.765242094371175,21.08085827383707,0.3147698001673621,1.389323763366,1.3991044383385742,1.363920247086541,1.4342886295906074,0.0703683825040664
61,train,2.747769252734088,77.26142985056626,26.990993217251216,22.9993627275428,0.7992649231539777,1.542864563755,1.5428220778482595,1.5076378865962263,1.5780062691002927,0.0703683825040664
62,train,1.0423657821357009,63.16631749681376,37.804710244191455,28.914398908234944,0.3376724001722611,1.507677943459,1.5076757644928274,1.4724915732407942,1.5428599557448606,0.0703683825040664
63,calibration,1.1479267979880654,33.96757676611257,41.30605740123405,28.37730800847514,0.410856571123119,1.516862544731,1.5197044651309948,1.4845202738789616,1.554888656383028,0.0703683825040664
64,train,2.193221749010236,54.345602459733,35.14963739541329,29.527377612430712,0.5332742525128011,1.536330262948,1.5363254903376078,1.5011412990855746,1.571509681589641,0.0703683825040664
65,train,3.667730697367112,30.72263744262912,39.21030430340393,24.94008751949783,0.3814245968961465,1.446492635549,1.4608495241697588,1.4256653329177256,1.496033715421792,0.0703683825040664
66,train,2.136682308516394,74.19976190661673,38.31354441859004,26.022405146369344,0.3208356012821679,1.509427687177,1.5094541754433521,1.474269984191319,1.5446383666953853,0.0703683825040664
67,train,1.625203542292029,41.432028373974575,32.30041162716654,28.881209906315306,0.3446401232983802,1.519766572684,1.5195704861748116,1.4843862949227784,1.5547546774268448,0.0703683825040664
68,train,4.871022513534268,73.38752140532446,16.529672616131784,29.403398989218218,0.5073915963908133,1.374364319471,1.3744317917488276,1.3392476004967944,1.4096159830008608,0.0703683825040664
69,train,4.700557920751849,51.68249161104668,24.997994019459465,18.565202268305505,0.8217764722920544,1.43035199282,1.4301703282155669,1.3949861369635337,1.4653545194676,0.0703683825040664
70,train,2.816266205685249,72.58265172334822,44.0320079596662,17.831360381070155,0.7486358865567468,1.538918707662,1.5389193049366514,1.5037351136846182,1.5741034961886846,0.0703683825040664
71,test,2.9695305191858243,45.27090009314714,11.597314067675118,13.685254442074156,0.815483783828902,1.537440464576,1.537752396277219,1.5025682050251858,1.5729365875292523,0.0703683825040664
