sample_id,region,target,time_s,time_yr,true,pred,rel_error,abs_log10_ratio
74,cell_3,atoms_Li6,63083642.4,2.0003691780821917,4.08289e+21,4.0828649941698347e+21,6.1245417254037374e-06,2.659862820772902e-06
87,cell_3,atoms_Li6,63083642.4,2.0003691780821917,4.08308e+21,4.08300949009996e+21,1.726880199260828e-05,7.499810171020057e-06
14,cell_3,atoms_Li6,157693327.2,5.000422602739726,4.07972e+21,4.079950192600983e+21,5.642362735267947e-05,2.4503778718654822e-05
20,cell_3,atoms_Li6,157693327.2,5.000422602739726,4.08079e+21,4.0806908843343867e+21,2.428835240563465e-05,1.0548425526749436e-05
71,cell_3,atoms_Li6,157693327.2,5.000422602739726,4.08106e+21,4.0810745091361116e+21,3.5552371471457634e-06,1.5440171301813763e-06
74,cell_3,atoms_Li6,157693327.2,5.000422602739726,4.0812e+21,4.081043587679794e+21,3.832508090905341e-05,1.6644690113886727e-05
87,cell_3,atoms_Li6,157693327.2,5.000422602739726,4.08208e+21,4.081755863920794e+21,7.940463665732212e-05,3.4486364744568575e-05
14,cell_3,atoms_Li6,315358696.8,9.999958675799087,4.07289e+21,4.0736153204571e+21,0.00017808496107191648,7.73344300583929e-05
20,cell_3,atoms_Li6,315358696.8,9.999958675799087,4.07597e+21,4.075728521193246e+21,5.924450051258861e-05,2.5730321853267222e-05
71,cell_3,atoms_Li6,315358696.8,9.999958675799087,4.07674e+21,4.0769011629847363e+21,3.953231865079057e-05,1.716832849721882e-05
74,cell_3,atoms_Li6,315358696.8,9.999958675799087,4.07716e+21,4.076807673406994e+21,8.641470852400893e-05,3.7531052708095975e-05
87,cell_3,atoms_Li6,315358696.8,9.999958675799087,4.07966e+21,4.078951391199927e+21,0.00017369310189401205,7.544050763478139e-05
14,cell_3,atoms_Li7,3153600.0,0.1,4.97159e+22,4.9715899999998746e+22,2.5309633336618666e-14,1.0993333118707612e-14
20,cell_3,atoms_Li7,3153600.0,0.1,4.97159e+22,4.9715899999998746e+22,2.5309633336618666e-14,1.0993333118707612e-14
71,cell_3,atoms_Li7,3153600.0,0.1,4.97159e+22,4.9715899999998746e+22,2.5309633336618666e-14,1.0993333118707612e-14
