seed,r2,mae,qhat,ci_width,picp,y_range,width_range_ratio
54,0.9674060529907857,0.00696009389406625,0.030036140918769494,0.06007228183753899,1.0,0.13173220951800002,0.45601817548904505
55,0.9705716683875166,0.005889367138703995,0.02147241325358662,0.04294482650717324,0.9285714285714286,0.16239215308999988,0.2644513647366486
56,0.9931400669009294,0.0025910614633709423,0.018101145333472513,0.036202290666945025,1.0,0.17344446684799997,0.20872554382879976
57,0.9757917791055823,0.00909789014672743,0.01257356573270263,0.02514713146540526,0.7142857142857143,0.19467362649699993,0.12917585149004657
58,0.9534304418079111,0.005452160061451407,0.024440820012598063,0.04888164002519613,0.9285714285714286,0.15300545861800008,0.31947644526353863
59,0.9819133563056743,0.0033622218160665068,0.014956470628531005,0.02991294125706201,1.0,0.13884546983400003,0.2154405274642747
60,0.9768715311827828,0.0076036342293885105,0.017113815793207587,0.034227631586415175,0.9285714285714286,0.1870327246329999,0.18300343778650208
61,0.9935089534541252,0.0032117448598786924,0.03211735325686482,0.06423470651372964,1.0,0.13449946795800005,0.47758335024632304
62,0.9769260442342969,0.005501574732758442,0.02914100890336102,0.05828201780672204,1.0,0.172465998259,0.3379333804637671
63,0.9727148311298762,0.006810279762282783,0.021195431632105466,0.04239086326421093,0.9285714285714286,0.21188733911300006,0.20006321964147078
64,0.9693763647254278,0.0053668511644483176,0.018616855159909074,0.03723371031981815,0.9285714285714286,0.1270573150630001,0.293046569584413
65,0.9601937641408413,0.007723838311078622,0.03227077638637721,0.06454155277275442,1.0,0.17515398841699992,0.36848463090144634
66,0.9580155162489117,0.006548109064602998,0.019070092087973833,0.03814018417594767,0.8571428571428571,0.1582640946709999,0.24099075823378419
67,0.9802797800702165,0.004156988641356004,0.022419485491604885,0.04483897098320977,1.0,0.16082166359999994,0.27881175943269987
68,0.9670799565369639,0.004605384368208977,0.02177350551005608,0.04354701102011216,1.0,0.1170305466899999,0.3720995265916603
69,0.9668188710494798,0.005848733079774848,0.03308787417173842,0.06617574834347684,1.0,0.13127378280399982,0.5041048328917396
70,0.9569576789772181,0.008504313352582251,0.021819710819003912,0.043639421638007825,0.9285714285714286,0.20856670573199998,0.20923484160546107
71,0.9865843958441243,0.0044399649683942565,0.029251664005679023,0.05850332801135805,1.0,0.17141993819799994,0.34128660076742834
72,0.9915284113371277,0.0027732542162377687,0.023732596221113456,0.04746519244222691,1.0,0.12034453639999998,0.39441086286179683
73,0.9849788761776785,0.004711542855153088,0.01271249323198198,0.02542498646396396,1.0,0.172672556842,0.14724393342497674
74,0.9706534348080922,0.006349018745310274,0.018798403723945478,0.037596807447890956,0.9285714285714286,0.1752144444549999,0.21457595899033824
75,0.9217866576351581,0.009959540343230655,0.022343332078427647,0.044686664156855294,0.8571428571428571,0.1544938733529999,0.2892455421500867
76,0.9631455949600446,0.00921020520914557,0.037304025367079996,0.07460805073415999,1.0,0.197063335635,0.3785993497661521
77,0.9670029604863986,0.0060209880362377555,0.017748070248371217,0.035496140496742434,0.9285714285714286,0.134342715791,0.2642208048850567
78,0.9867448521489406,0.004220371131448781,0.0252788325598734,0.0505576651197468,1.0,0.177331970577,0.2851018062633774
79,0.8236845840958098,0.012201496499455186,0.045640767570122254,0.09128153514024451,0.9285714285714286,0.13050727641299997,0.6994363659186121
80,0.960416877598099,0.008287712915845307,0.02745282077288036,0.05490564154576072,0.9285714285714286,0.21188733911300006,0.25912658007602524
81,0.8998393463040282,0.008034025416569723,0.02386846368306661,0.04773692736613322,0.9285714285714286,0.138905925872,0.34366372108647236
82,0.9609858016737218,0.007710963553021747,0.011223500412503862,0.022447000825007724,0.6428571428571429,0.14928278164600006,0.150365638806471
83,0.9695142292381607,0.0056854163390244504,0.028197864720493016,0.05639572944098603,1.0,0.16566807271899986,0.34041398873905176
