region,feature,grid_value,pdp_log10_h3
cell_2,LI6_ENRICH_ATOM_FRAC,0.6289517550053014,-0.0001547270120820811
cell_2,LI6_ENRICH_ATOM_FRAC,0.6399263659430516,-0.00016251309518742094
cell_2,LI6_ENRICH_ATOM_FRAC,0.650900976880802,-0.00016251309518742094
cell_2,LI6_ENRICH_ATOM_FRAC,0.6618755878185523,-0.000194272406658805
cell_2,LI6_ENRICH_ATOM_FRAC,0.6728501987563025,-0.000194272406658805
cell_2,LI6_ENRICH_ATOM_FRAC,0.6838248096940528,-0.00017039247042426053
cell_2,LI6_ENRICH_ATOM_FRAC,0.6947994206318031,-0.00017039247042426053
cell_2,LI6_ENRICH_ATOM_FRAC,0.7057740315695533,-0.00019953047371751742
cell_2,LI6_ENRICH_ATOM_FRAC,0.7167486425073036,-0.00019953047371751742
cell_2,LI6_ENRICH_ATOM_FRAC,0.727723253445054,-0.00019953047371751742
cell_2,LI6_ENRICH_ATOM_FRAC,0.7386978643828042,-0.00019953047371751742
cell_2,LI6_ENRICH_ATOM_FRAC,0.7496724753205546,-0.00019953047371751742
cell_2,LI6_ENRICH_ATOM_FRAC,0.7606470862583048,-0.00019953047371751742
cell_2,LI6_ENRICH_ATOM_FRAC,0.7716216971960551,-0.00019953047371751742
cell_2,LI6_ENRICH_ATOM_FRAC,0.7825963081338054,-0.00019953047371751742
cell_2,LI6_ENRICH_ATOM_FRAC,0.7935709190715556,-0.00019953047371751742
cell_2,LI6_ENRICH_ATOM_FRAC,0.804545530009306,-0.00019953047371751742
cell_2,LI6_ENRICH_ATOM_FRAC,0.8155201409470563,-0.00022029634566561362
cell_2,LI6_ENRICH_ATOM_FRAC,0.8264947518848065,-0.00022029634566561362
cell_2,LI6_ENRICH_ATOM_FRAC,0.8374693628225569,-0.00022029634566561362
cell_2,LI6_ENRICH_ATOM_FRAC,0.8484439737603071,-0.00022029634566561362
cell_2,LI6_ENRICH_ATOM_FRAC,0.8594185846980573,-0.00022029634566561362
cell_2,LI6_ENRICH_ATOM_FRAC,0.8703931956358077,-0.00022029634566561362
cell_3,FW_THICK_CM,1.1594417780493855,0.007932018891776369
cell_3,FW_THICK_CM,1.2335757497775286,0.0039962204961924395
cell_3,FW_THICK_CM,1.3077097215056714,0.004388367183736746
cell_3,FW_THICK_CM,1.3818436932338145,0.004908347158403466
cell_3,FW_THICK_CM,1.4559776649619574,0.004161109232072373
cell_3,FW_THICK_CM,1.5301116366901004,0.004497435486831435
cell_3,FW_THICK_CM,1.6042456084182435,0.004497435486831435
cell_3,FW_THICK_CM,1.6783795801463863,0.0044691997897327905
cell_3,FW_THICK_CM,1.7525135518745292,0.004470454075215443
cell_3,FW_THICK_CM,1.8266475236026722,0.0038090069600119477
cell_3,FW_THICK_CM,1.9007814953308153,0.0038090069600119477
cell_3,FW_THICK_CM,1.9749154670589582,0.0035932609341184467
cell_3,FW_THICK_CM,2.049049438787101,0.0034439017027997503
cell_3,FW_THICK_CM,2.123183410515244,0.00346217632060993
cell_3,FW_THICK_CM,2.197317382243387,0.0022820151588771823
cell_3,FW_THICK_CM,2.27145135397153,0.0027690080876967642
cell_3,FW_THICK_CM,2.3455853256996733,0.002776723903429882
cell_3,FW_THICK_CM,2.4197192974278163,0.0037695250065477295
cell_3,FW_THICK_CM,2.493853269155959,0.005345642542458442
cell_3,FW_THICK_CM,2.567987240884102,0.004889524339117354
cell_3,FW_THICK_CM,2.6421212126122446,0.0024342279934131354
cell_3,FW_THICK_CM,2.7162551843403877,0.0024342279934131354
cell_3,FW_THICK_CM,2.7903891560685308,0.0028462780497981776
cell_3,FW_THICK_CM,2.864523127796674,0.0026977032574121685
cell_3,FW_THICK_CM,2.938657099524817,0.0026977032574121685
cell_3,FW_THICK_CM,3.01279107125296,0.0026977032574121685
cell_3,FW_THICK_CM,3.086925042981103,0.002697737804777433
cell_3,FW_THICK_CM,3.1610590147092457,0.002697737804777433
cell_3,FW_THICK_CM,3.2351929864373887,0.0026993174465723318
cell_3,FW_THICK_CM,3.309326958165532,0.0025541370895920314
cell_3,FW_THICK_CM,3.3834609298936744,0.0025413230531128443
cell_3,FW_THICK_CM,3.4575949016218175,0.0023380173213578006
cell_3,FW_THICK_CM,3.5317288733499606,0.0018146467167168246
cell_3,FW_THICK_CM,3.6058628450781036,0.001469657132938687
cell_3,FW_THICK_CM,3.6799968168062467,0.0014616518896916628
cell_3,FW_THICK_CM,3.7541307885343893,0.0005741498676202553
cell_3,FW_THICK_CM,3.8282647602625324,-0.0003583481432982996
cell_3,FW_THICK_CM,3.9023987319906754,-0.0007166270998062681
cell_3,FW_THICK_CM,3.9765327037188185,-0.0025600903369822296
cell_3,FW_THICK_CM,4.050666675446961,-0.0037449354658904512
cell_3,FW_THICK_CM,4.124800647175104,-0.008365320467361013
cell_3,FW_THICK_CM,4.198934618903247,-0.008288030443139088
cell_3,FW_THICK_CM,4.27306859063139,-0.008582419783632939
cell_3,FW_THICK_CM,4.347202562359533,-0.008582419783632939
cell_3,FW_THICK_CM,4.421336534087676,-0.009725879488407174
cell_3,FW_THICK_CM,4.495470505815819,-0.009725879488407174
cell_3,FW_THICK_CM,4.569604477543962,-0.009725879488407174
cell_3,FW_THICK_CM,4.643738449272105,-0.010835593284882865
cell_3,FW_THICK_CM,4.717872421000248,-0.011031272775415844
cell_3,FW_THICK_CM,4.792006392728391,-0.010696561397380847
cell_3,PBLI_THICK_CM,32.431983494597205,0.2014336144032572
cell_3,PBLI_THICK_CM,33.35124663720399,0.198823008254819
cell_3,PBLI_THICK_CM,34.27050977981078,0.19912788941661028
cell_3,PBLI_THICK_CM,35.18977292241757,0.19290233629983497
cell_3,PBLI_THICK_CM,36.109036065024355,0.18754913508465842
