region,target,sample_id,time_s,time_yr,true,pred,ci_lower,ci_upper
cell_3,atoms_H3,20,148226047.2,4.700217123287671,2.21832e+18,2.305997091240573e+18,1.6085378041026222e+18,3.3058735525190845e+18
cell_3,atoms_H3,20,176596329.6,5.599832876712329,2.84648e+18,2.9708348520438943e+18,2.0936372100240343e+18,4.2155630764784445e+18
cell_3,atoms_H3,20,204998169.6,6.500449315068493,3.4435e+18,3.584918237716506e+18,2.5282290590553027e+18,5.083257280459612e+18
cell_3,atoms_H3,20,236524212.0,7.500133561643835,4.07235e+18,4.278383634067392e+18,2.9968031116253394e+18,6.108031071259826e+18
cell_3,atoms_H3,20,264894494.4,8.399749315068494,4.775e+18,5.005625500811469e+18,3.5123877518979784e+18,7.133690362299686e+18
cell_3,atoms_H3,20,293296334.40000004,9.300365753424659,5.64551e+18,5.891603499156279e+18,4.158195032814083e+18,8.347610325478084e+18
cell_3,atoms_H3,20,315355396.8,9.99985403348554,6.29271e+18,6.530798028911103e+18,4.6113749010089574e+18,9.249155362557303e+18
cell_3,atoms_H3,20,316564696.8,10.038200684931507,6.27917e+18,6.507758461331245e+18,4.5928881965736243e+18,9.220977820148755e+18
cell_3,atoms_H3,20,6622551705.6,209.99973698630137,83495100000000.0,85820085424055.89,60327289904339.93,122085495202435.7
cell_3,atoms_H3,71,3153600.0,0.1,1.57352e+16,1.5750511208801304e+16,1.1010828243617708e+16,2.2530421676713668e+16
cell_3,atoms_H3,71,31536000.0,1.0,1.53442e+17,1.535331734814204e+17,1.0753802796488117e+17,2.192009264571414e+17
cell_3,atoms_H3,71,59927882.4,1.9003006849315067,4.92066e+17,4.92803760736081e+17,3.4517620892833574e+17,7.035697719423223e+17
cell_3,atoms_H3,71,91453924.8,2.8999849315068493,8.48745e+17,8.47134880517638e+17,5.916523829026588e+17,1.2129377427145454e+18
cell_3,atoms_H3,71,119824207.2,3.799600684931507,1.46157e+18,1.4606938833689518e+18,1.0213411071765684e+18,2.089044106733099e+18
cell_3,atoms_H3,71,148226047.2,4.700217123287671,2.0817e+18,2.0840079300150822e+18,1.453690272295835e+18,2.9876302642561147e+18
cell_3,atoms_H3,71,176596329.6,5.599832876712329,2.67118e+18,2.67840828075062e+18,1.88755535716098e+18,3.8006148488187996e+18
cell_3,atoms_H3,71,204998169.6,6.500449315068493,3.23155e+18,3.2463377213266273e+18,2.2894484109052639e+18,4.60316491549206e+18
cell_3,atoms_H3,71,236524212.0,7.500133561643835,3.82178e+18,3.8382967471458135e+18,2.6885432955559045e+18,5.479741369053876e+18
cell_3,atoms_H3,71,264894494.4,8.399749315068494,4.48127e+18,4.4945632617400847e+18,3.1537814700894633e+18,6.405357855441589e+18
cell_3,atoms_H3,71,293296334.40000004,9.300365753424659,5.2982e+18,5.319862878430937e+18,3.7546700825185275e+18,7.537530707977416e+18
cell_3,atoms_H3,71,315355396.8,9.99985403348554,5.90558e+18,5.907818270262417e+18,4.1714909526535444e+18,8.36686861138811e+18
cell_3,atoms_H3,71,316564696.8,10.038200684931507,5.89287e+18,5.904370082356412e+18,4.167043356109724e+18,8.366024322331892e+18
cell_3,atoms_H3,71,6622551705.6,209.99973698630137,77976000000000.0,77854013274131.75,54727533837764.664,110753161303718.7
cell_3,atoms_Li6,14,3153600.0,0.1,4.08334e+21,4.083338094819606e+21,4.083325746198441e+21,4.083350443478115e+21
cell_3,atoms_Li6,14,31536000.0,1.0,4.08313e+21,4.0831483631245486e+21,4.083016997934824e+21,4.0832797325407583e+21
cell_3,atoms_Li6,14,59927882.4,1.9003006849315067,4.08262e+21,4.082671027861234e+21,4.082243718703721e+21,4.083098381747365e+21
cell_3,atoms_Li6,14,91453924.8,2.8999849315068493,4.08205e+21,4.082150420582992e+21,4.081375789166431e+21,4.082925199021995e+21
cell_3,atoms_Li6,14,119824207.2,3.799600684931507,4.08108e+21,4.081253409521288e+21,4.0799294358978644e+21,4.082577812786004e+21
cell_3,atoms_Li6,14,148226047.2,4.700217123287671,4.08006e+21,4.0803178303874977e+21,4.0783917711238753e+21,4.082244799250907e+21
cell_3,atoms_Li6,14,176596329.6,5.599832876712329,4.07903e+21,4.0793779405517834e+21,4.076866502638111e+21,4.0818909255655117e+21
cell_3,atoms_Li6,14,204998169.6,6.500449315068493,4.07801e+21,4.078380459524759e+21,4.0752671776277214e+21,4.0814961197993967e+21
