sample_id,split,FW_THICK_CM,PBLI_THICK_CM,SHIELD_THICK_CM,VV_THICK_CM,LI6_ENRICH_ATOM_FRAC,tbr,tbr_pred,ci_lower,ci_upper,pr_tbr_gt_1.05,pr_tbr_gt_1.10,pr_tbr_gt_1.15,pr_tbr_gt_1.20,pr_tbr_gt_1.25,pr_tbr_gt_1.30,pr_tbr_gt_1.35,pr_tbr_gt_1.40,pr_tbr_gt_1.45,pr_tbr_gt_1.50
10,train,4.225296008094517,38.17246184265824,19.659997763870813,10.12973290461358,0.5141704236901158,1.430773040993,1.4307613724496508,1.3955771811976176,1.465945563701684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9371476415259838,0.22660125377704457,0.0
11,train,4.221376206077714,41.8390569351453,13.604918305327638,13.866065738757626,0.5837473281117096,1.442252158639,1.4381691625160926,1.4029849712640594,1.4733533537681258,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33187282323529793,0.0
12,train,1.919692135575972,33.34544546744215,13.998899480313868,21.197365275607048,0.396793262490802,1.52603360776,1.5260234921502718,1.4908393008982386,1.561207683402305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8698179668797694
13,train,3.8409224062830094,74.5293331370902,10.808251713781022,10.57114299268152,0.5179730442000953,1.461190605577,1.4611715883230616,1.4259873970710284,1.4963557795750948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6587586345673935,0.0
14,test,1.6000559564191188,32.85954527737181,10.03542959226458,12.970329064788688,0.7216412239154828,1.539771034924,1.5443090955424532,1.50912490429042,1.5794932867944864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,train,4.023277989019293,68.32568121992935,30.92906883810402,28.16837037428386,0.8894694239114147,1.486574217163,1.4864609153114317,1.4512767240593984,1.5216451065634649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3075970456222159
16,train,1.1668038144820327,49.879457083260334,41.92121421305072,20.02947410651937,0.5412441985248744,1.521171393966,1.5212338898454234,1.4860496985933902,1.5564180810974566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8017532745504894
17,train,4.388254005323143,32.13572063357954,18.80268582787181,17.459117148881035,0.5287616298211975,1.419826781223,1.4201226542691725,1.3849384630171393,1.4553068455212057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7859615860576269,0.07541519830868758,0.0
18,train,3.78910755092172,76.94611851555496,28.28621077802537,14.411207262343725,0.6252665588273629,1.479413972985,1.4797058673698005,1.4445216761177673,1.5148900586218337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9221479350912165,0.2116015473422772
19,train,2.836667493816968,71.03610127193784,30.73254599856193,24.246131206334297,0.8313604406424222,1.542349775834,1.54224681397113,1.5070626227190969,1.5774310052231633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
